Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
干,3,1,2,1,2,0
诗意,3,3,0,3,0,0
玩,3,0,3,0,3,0
手机,3,3,1,2,0,1
评论区,3,1,1,1,1,0
忍不住,3,1,3,0,2,1
画,3,0,3,0,3,0
大号,3,2,2,1,1,1
真的好,3,1,3,0,2,1
明明,3,1,2,1,2,0
法律,3,2,1,2,1,0
无形,3,3,2,1,0,2
心中,3,3,0,3,0,0
挺,3,2,1,1,0,1
第一,3,2,2,1,1,1
媒体,3,3,2,1,0,2
小刘,3,1,3,0,2,1
存在,3,3,1,2,0,1
哎,3,2,2,1,1,1
对不起,3,1,2,1,2,0
对不对,3,0,3,0,3,0
气死,3,2,1,2,1,0
能够,3,2,1,2,1,0
唉,3,2,2,1,1,1
肯定,3,2,3,0,1,2
点赞,3,0,3,0,3,0
网警,3,0,0,0,0,0
神,3,0,3,0,3,0
喝,3,0,3,0,3,0
成长,3,0,3,0,3,0
救,3,0,2,0,2,0
生日快乐,3,0,3,0,3,0
离去,3,1,3,0,2,1
在哪里,3,1,3,0,2,1
留言,3,0,3,0,3,0
图片评论,3,0,0,0,0,0
没了,3,1,3,0,2,1
成年人,3,3,2,1,0,2
无数,3,1,3,0,2,1
照顾,3,1,2,1,2,0
听到,3,0,3,0,3,0
苦,3,3,1,2,0,1
昆明,3,0,3,0,3,0
只要,3,2,2,1,1,1
叫,3,0,3,0,3,0
网上,3,0,2,0,2,0
网友,3,0,3,0,3,0
局,3,2,1,1,0,1
就要,3,3,2,1,0,2
可惜,3,1,3,0,2,1
姥姥,3,0,3,0,3,0
很快,3,0,2,0,2,0
就能,3,1,2,1,2,0
就算,3,1,3,0,2,1
想象,3,1,2,1,2,0
我们大家,3,1,3,0,2,1
拿,3,1,3,0,2,1
日子,3,1,3,0,2,1
花香,3,2,1,2,1,0
花,3,2,2,1,1,1
母爱,3,0,3,0,3,0
打工,3,0,3,0,3,0
少年,3,1,3,0,2,1
良心,3,3,2,1,0,2
后续,3,2,2,1,1,1
向,3,2,1,2,1,0
舅舅,3,0,3,0,3,0
无论,3,0,3,0,3,0
天使,3,0,3,0,3,0
  ,3,1,3,0,2,1
遇见,3,1,2,1,2,0
且,3,2,1,2,1,0
严重,3,3,1,2,0,1
全,3,1,3,0,2,1
一声,3,0,3,0,3,0
亲,3,1,3,0,2,1
阿弥陀佛,3,0,3,0,3,0
