Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
代价,2,2,0,2,0,0
小哥哥,2,0,2,0,2,0
担心,2,1,1,0,0,1
运动,2,2,0,2,0,0
上面,2,0,2,0,2,0
生,2,1,1,1,1,0
那头,2,1,1,1,1,0
生命,2,1,1,1,1,0
下午,2,2,0,2,0,0
遗憾,2,0,2,0,2,0
不容易,2,1,1,0,0,1
怎么办,2,2,1,1,0,1
生日,2,2,0,2,0,0
生病,2,1,0,1,0,0
不必,2,1,1,1,1,0
感到,2,1,1,1,1,0
熬过来,2,1,1,1,1,0
上辈子,2,2,0,2,0,0
上映,2,0,2,0,2,0
电影,2,0,2,0,2,0
那边,2,0,2,0,2,0
三年,2,2,1,1,0,1
心脏,2,2,0,2,0,0
不爱,2,2,0,2,0,0
留下来,2,1,1,1,1,0
那些人,2,0,2,0,2,0
总是,2,1,2,0,1,1
睡不着,2,1,1,1,1,0
玩,2,0,2,0,2,0
状态,2,2,1,1,0,1
那一天,2,2,0,2,0,0
不可,2,2,0,2,0,0
想你,2,1,1,1,1,0
独自,2,1,2,0,1,1
想了想,2,2,0,2,0,0
不上,2,0,2,0,2,0
那一刻,2,0,2,0,2,0
想过,2,2,0,2,0,0
情绪,2,1,1,1,1,0
恋爱,2,1,1,1,1,0
不堪,2,2,0,2,0,0
您,2,1,2,0,1,1
那一份,2,0,2,0,2,0
下次,2,0,2,0,2,0
球,2,0,0,0,0,0
理由,2,2,0,2,0,0
恢复,2,1,0,1,0,0
恐怖,2,2,0,2,0,0
甚至,2,0,2,0,2,0
心情,2,2,1,1,0,1
心态,2,2,1,1,0,1
留恋,2,1,1,0,0,1
于,2,2,1,1,0,1
看完,2,1,2,0,1,1
一年,2,1,1,1,1,0
这么多,2,1,1,1,1,0
常常,2,2,0,2,0,0
抱抱,2,0,2,0,2,0
带,2,1,1,1,1,0
真实,2,0,2,0,2,0
布置,2,2,0,2,0,0
事情,2,0,2,0,2,0
真的好,2,2,0,2,0,0
成,2,1,1,1,1,0
崩溃,2,2,0,2,0,0
云,2,2,0,2,0,0
拍照,2,0,2,0,2,0
还不错,2,2,0,2,0,0
尸体,2,1,0,1,0,0
亚麻,2,2,0,2,0,0
交,2,0,2,0,2,0
拜托,2,0,2,0,2,0
亲人,2,1,1,1,1,0
重要,2,2,0,2,0,0
看不到,2,1,1,1,1,0
相遇,2,1,1,1,1,0
并没有,2,2,0,2,0,0
三天,2,2,0,2,0,0
得到,2,2,0,2,0,0
煎熬,2,2,0,2,0,0
不算,2,2,0,2,0,0
不管,2,1,1,1,1,0
焦虑,2,1,1,1,1,0
我妈妈,2,0,2,0,2,0
不要放弃,2,0,2,0,2,0
很好,2,1,2,0,1,1
很多人,2,2,0,2,0,0
很久以前,2,2,0,2,0,0
所,2,1,1,1,1,0
才会,2,2,0,2,0,0
才是,2,1,1,0,0,1
一点点,2,1,1,0,0,1
不过,2,1,1,1,1,0
强烈,2,2,0,2,0,0
开,2,0,2,0,2,0
这边,2,0,2,0,2,0
越来越近,2,1,1,1,1,0
好久,2,2,0,2,0,0
刚,2,0,2,0,2,0
行为,2,2,0,2,0,0
有点,2,1,1,1,1,0
四次,2,2,0,2,0,0
命,2,2,0,2,0,0
18年,2,1,1,1,1,0
发生,2,1,1,1,1,0
沉重,2,2,2,0,0,2
诉说,2,2,0,2,0,0
说什么,2,2,0,2,0,0
说些什么,2,2,1,1,0,1
回家,2,1,0,1,0,0
关于,2,2,0,2,0,0
沙雕,2,2,0,2,0,0
回答,2,1,1,1,1,0
自私,2,2,0,2,0,0
明白,2,2,0,2,0,0
面对,2,2,1,1,0,1
明明,2,1,1,1,1,0
26岁,2,2,0,2,0,0
可笑,2,2,0,2,0,0
准备,2,1,1,1,1,0
讨论,2,2,0,2,0,0
前兆,2,0,2,0,2,0
别死,2,0,2,0,2,0
吐,2,2,0,2,0,0
黎明前,2,2,0,2,0,0
说说,2,1,1,1,1,0
哪天,2,2,0,2,0,0
谈到,2,2,0,2,0,0
能看到,2,0,2,0,2,0
最好吃,2,0,1,0,1,0
晚,2,2,0,2,0,0
唱歌,2,0,2,0,2,0
永远不可能,2,0,2,0,2,0
自我,2,2,0,2,0,0
告诉,2,2,0,2,0,0
设定,2,2,0,2,0,0
记忆,2,2,0,2,0,0
莫名其妙,2,2,0,2,0,0
再也,2,1,1,1,1,0
另一个,2,0,1,0,1,0
晚上,2,2,0,2,0,0
期待,2,2,0,2,0,0
内容,2,2,0,2,0,0
可怜,2,2,0,2,0,0
而我,2,2,0,2,0,0
聊起,2,2,0,2,0,0
其他,2,1,1,1,1,0
谈,2,1,1,1,1,0
18岁,2,2,0,2,0,0
可惜,2,1,1,1,1,0
变相,2,2,0,2,0,0
聊天,2,0,2,0,2,0
说实话,2,2,0,2,0,0
嗨,2,0,2,0,2,0
诗人,2,2,0,2,0,0
只想,2,2,0,2,0,0
本来,2,1,0,1,0,0
在乎,2,1,0,1,0,0
没办法,2,2,0,2,0,0
更加,2,2,0,2,0,0
去找,2,0,2,0,2,0
没法,2,1,1,1,1,0
质地,2,2,0,2,0,0
根本,2,2,0,2,0,0
没见过,2,2,0,2,0,0
2019年,2,1,2,0,1,1
博主,2,1,1,1,1,0
健康,2,1,1,1,1,0
贼,2,0,2,0,2,0
随便,2,2,0,2,0,0
次,2,2,0,2,0,0
多么,2,2,0,2,0,0
无数次,2,2,1,1,0,1
吃了,2,2,0,2,0,0
终点,2,2,1,1,0,1
治疗,2,2,1,1,0,1
终,2,0,1,0,1,0
单亲家庭,2,2,0,2,0,0
要是,2,1,1,1,1,0
每个人,2,2,0,2,0,0
有什么用,2,2,0,2,0,0
花,2,2,0,2,0,0
脑海里,2,2,1,1,0,1
试着,2,0,2,0,2,0
见,2,2,0,2,0,0
有一天,2,2,0,2,0,0
越来越,2,2,1,1,0,1
大哥,2,1,2,0,1,1
出,2,1,1,1,1,0
要不要,2,0,2,0,2,0
日,2,1,1,1,1,0
坚信,2,2,1,1,0,1
若是,2,0,2,0,2,0
时光,2,1,1,1,1,0
在意,2,1,1,1,1,0
极端,2,2,0,2,0,0
毕业,2,1,1,1,1,0
早点认识,2,1,1,1,1,0
每每,2,1,1,1,1,0
某种程度,2,2,0,2,0,0
會,2,0,2,0,2,0
早点,2,2,0,2,0,0
同样,2,0,2,0,2,0
觉醒,2,2,0,2,0,0
充满,2,2,1,1,0,1
地狱,2,0,2,0,2,0
歌赋,2,2,0,2,0,0
没有人,2,2,1,1,0,1
早,2,2,1,1,0,1
压抑,2,2,0,2,0,0
?,2,0,2,0,2,0
坏,2,1,1,1,1,0
哥哥,2,2,0,2,0,0
继续,2,2,1,1,0,1
刚才,2,2,1,1,0,1
写出,2,2,0,2,0,0
都一样,1,1,1,0,0,1
魔鬼,1,1,1,0,0,1
每个早晨,1,0,1,0,1,0
注意,1,1,1,0,0,1
热烈,1,1,0,1,0,0
醒过来,1,1,0,1,0,0
高中,1,0,1,0,1,0
烦,1,0,0,0,0,0
每天早晨,1,0,1,0,1,0
高兴,1,0,1,0,1,0
重头,1,1,0,1,0,0
烦恼,1,1,0,1,0,0
醒醒,1,1,0,1,0,0
醒来,1,1,0,1,0,0
热情,1,0,1,0,1,0
烦躁,1,0,0,0,0,0
烧炭,1,1,0,1,0,0
高高兴兴,1,1,0,1,0,0
酒,1,0,1,0,1,0
鬼样子,1,1,0,1,0,0
热乎乎,1,0,0,0,0,0
热奶茶,1,1,0,1,0,0
醒了,1,0,1,0,1,0
鳳爪,1,0,1,0,1,0
部我们,1,0,1,0,1,0
那里,1,1,1,0,0,1
此刻,1,1,0,1,0,0
鼓励  ,1,0,1,0,1,0
正常人,1,0,1,0,1,0
龙泉,1,0,1,0,1,0
?,1,1,0,1,0,0
爷爷奶奶,1,1,0,1,0,0
?,1,1,0,1,0,0
爸妈,1,1,0,1,0,0
止不住,1,1,0,1,0,0
?,1,0,1,0,1,0
片刻,1,0,1,0,1,0
牛油,1,0,1,0,1,0
欣赏,1,0,1,0,1,0
物,1,1,0,1,0,0
機,1,0,1,0,1,0
模样,1,0,1,0,1,0
榨干,1,0,0,0,0,0
牵绊,1,1,0,1,0,0
楼顶,1,1,0,1,0,0
特别,1,1,0,1,0,0
楼上,1,1,0,1,0,0
麻辣,1,0,1,0,1,0
麻烦,1,1,0,1,0,0
麻木,1,1,0,1,0,0
烤鸭,1,0,1,0,1,0
每个,1,1,1,0,0,1
