Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
嬉嬉闹闹,1,0,1,0,1,0,100.0
以上,1,0,1,0,1,0,100.0
奶茶,1,0,1,0,1,0,100.0
奴隶学,1,1,0,1,0,0,100.0
以前,1,0,1,0,1,0,100.0
天气,1,1,0,1,0,0,100.0
天真,1,0,1,0,1,0,100.0
天赋,1,0,1,0,1,0,100.0
天门山,1,1,0,1,0,0,100.0
太久,1,1,0,1,0,0,100.0
太乖,1,0,1,0,1,0,100.0
好一点,1,1,0,1,0,0,100.0
哪怕,1,1,0,1,0,0,100.0
太太太,1,0,1,0,1,0,100.0
做到,1,0,1,0,1,0,100.0
哪天,1,0,1,0,1,0,100.0
功德,1,0,1,0,1,0,100.0
剖析,1,1,0,1,0,0,100.0
分享,1,1,0,1,0,0,100.0
刑法学,1,1,0,1,0,0,100.0
做对,1,0,1,0,1,0,100.0
做好,1,0,1,0,1,0,100.0
刚来,1,1,0,1,0,0,100.0
创新思路,1,0,1,0,1,0,100.0
创造,1,0,1,0,1,0,100.0
删,1,0,1,0,1,0,100.0
做大事,1,0,1,0,1,0,100.0
别  ,1,0,1,0,1,0,100.0
办公室,1,1,0,1,0,0,100.0
极端,1,1,0,1,0,0,100.0
别忘,1,0,1,0,1,0,100.0
别走,1,0,1,0,1,0,100.0
到处,1,1,0,1,0,0,100.0
到家,1,1,0,1,0,0,100.0
到时,1,0,1,0,1,0,100.0
做出来,1,1,0,1,0,0,100.0
刺,1,0,1,0,1,0,100.0
前,1,1,0,1,0,0,100.0
前几年,1,1,0,1,0,0,100.0
前段时间,1,1,0,1,0,0,100.0
前程,1,0,1,0,1,0,100.0
前进,1,0,1,0,1,0,100.0
别死,1,0,1,0,1,0,100.0
太低,1,1,0,1,0,0,100.0
太好了,1,1,0,1,0,0,100.0
醒来,1,0,1,0,1,0,100.0
人家,1,0,1,0,1,0,100.0
实验原理,1,1,0,1,0,0,100.0
亲测,1,1,0,1,0,0,100.0
实验室电脑,1,1,0,1,0,0,100.0
实验楼,1,0,1,0,1,0,100.0
实验设备,1,0,1,0,1,0,100.0
审,1,1,0,1,0,0,100.0
审稿人,1,1,0,1,0,0,100.0
室友,1,0,1,0,1,0,100.0
亲人,1,0,1,0,1,0,100.0
家庭,1,1,0,1,0,0,100.0
宾馆,1,0,1,0,1,0,100.0
宿舍,1,0,1,0,1,0,100.0
完善,1,0,1,0,1,0,100.0
人格分裂,1,1,0,1,0,0,100.0
实际上,1,1,0,1,0,0,100.0
人间烟火,1,0,1,0,1,0,100.0
字,1,0,1,0,1,0,100.0
字字,1,1,0,1,0,0,100.0
今晚,1,0,1,0,1,0,100.0
孝道,1,0,1,0,1,0,100.0
孟婆婆,1,0,1,0,1,0,100.0
孤身,1,0,1,0,1,0,100.0
今早,1,0,1,0,1,0,100.0
学业,1,0,1,0,1,0,100.0
学位,1,1,0,1,0,0,100.0
学位证,1,1,0,1,0,0,100.0
学弟,1,0,1,0,1,0,100.0
今天晚上,1,0,1,0,1,0,100.0
人  ,1,0,1,0,1,0,100.0
实现,1,0,1,0,1,0,100.0
太深,1,0,1,0,1,0,100.0
以及,1,1,0,1,0,0,100.0
太过,1,1,0,1,0,0,100.0
太阳,1,1,0,1,0,0,100.0
子女,1,1,0,1,0,0,100.0
失去,1,1,0,1,0,0,100.0
头像,1,0,1,0,1,0,100.0
夸,1,0,1,0,1,0,100.0
夸奖,1,0,1,0,1,0,100.0
夺回,1,1,0,1,0,0,100.0
奈何桥,1,0,1,0,1,0,100.0
奉献,1,1,0,1,0,0,100.0
奋斗,1,0,1,0,1,0,100.0
奔向,1,0,1,0,1,0,100.0
奖学金,1,1,0,1,0,0,100.0
女中,1,0,1,0,1,0,100.0
实属,1,0,1,0,1,0,100.0
女友,1,1,0,1,0,0,100.0
以往,1,0,1,0,1,0,100.0
天打雷劈,1,0,1,0,1,0,100.0
子民,1,0,1,0,1,0,100.0
孕育,1,0,1,0,1,0,100.0
完整,1,0,1,0,1,0,100.0
完结,1,0,1,0,1,0,100.0
完美,1,1,0,1,0,0,100.0
官方,1,0,1,0,1,0,100.0
宝贝,1,0,1,0,1,0,100.0
宝贵,1,1,0,1,0,0,100.0
实体,1,1,0,1,0,0,100.0
实在,1,0,1,0,1,0,100.0
化工学院,1,0,1,0,1,0,100.0
博士后,1,1,0,1,0,0,100.0
假,1,1,0,1,0,0,100.0
向上,1,1,0,1,0,0,100.0
合格,1,1,0,1,0,0,100.0
合适,1,0,1,0,1,0,100.0
吉他,1,0,1,0,1,0,100.0
同伴,1,0,1,0,1,0,100.0
号,1,1,0,1,0,0,100.0
同岁,1,0,1,0,1,0,100.0
同意,1,1,0,1,0,0,100.0
依旧,1,0,1,0,1,0,100.0
同理心,1,0,1,0,1,0,100.0
供,1,1,0,1,0,0,100.0
使唤,1,1,0,1,0,0,100.0
吐吐槽,1,0,1,0,1,0,100.0
向,1,0,1,0,1,0,100.0
否定,1,1,0,1,0,0,100.0
侥幸,1,1,0,1,0,0,100.0
否极泰来,1,1,0,1,0,0,100.0
同情,1,0,1,0,1,0,100.0
卤菜,1,1,0,1,0,0,100.0
卡,1,1,0,1,0,0,100.0
博硕士,1,1,0,1,0,0,100.0
内卷,1,1,0,1,0,0,100.0
内向,1,0,1,0,1,0,100.0
内心,1,0,1,0,1,0,100.0
再次,1,0,1,0,1,0,100.0
偶像,1,1,0,1,0,0,100.0
写作,1,1,0,1,0,0,100.0
冲,1,0,1,0,1,0,100.0
停止,1,1,0,1,0,0,100.0
各种各样,1,0,1,0,1,0,100.0
各方面,1,1,0,1,0,0,100.0
半年,1,1,0,1,0,0,100.0
咕噜咕噜,1,0,1,0,1,0,100.0
台,1,0,1,0,1,0,100.0
俗世,1,0,1,0,1,0,100.0
呆,1,0,1,0,1,0,100.0
你是谁,1,0,1,0,1,0,100.0
你我他,1,1,0,1,0,0,100.0
呐,1,0,1,0,1,0,100.0
你    ,1,0,1,0,1,0,100.0
呦,1,0,1,0,1,0,100.0
作业,1,1,0,1,0,0,100.0
周遭,1,0,1,0,1,0,100.0
命数,1,0,1,0,1,0,100.0
咋,1,0,1,0,1,0,100.0
咋样,1,1,0,1,0,0,100.0
余,1,0,1,0,1,0,100.0
俏皮,1,1,0,1,0,0,100.0
咱们,1,0,1,0,1,0,100.0
咸鱼,1,0,1,0,1,0,100.0
哈哈,1,1,0,1,0,0,100.0
哈哈哈,1,1,0,1,0,0,100.0
哈尔滨,1,0,1,0,1,0,100.0
哈工大,1,0,1,0,1,0,100.0
哪个,1,0,1,0,1,0,100.0
吸氧,1,0,1,0,1,0,100.0
